品番,枝番,品名,ロケーション,組織,棚番,帳簿数量,単位
M001,,冷間圧延鋼板 SPCC 1.6mm,原材料倉庫,資材部,棚A1,850,kg
M002,,アルミ板 A5052 3mm,原材料倉庫,資材部,棚A1,320,kg
M003,,ステンレス丸棒 SUS304 φ20,原材料倉庫,資材部,棚A2,150,本
M004,,樹脂ペレット PP,原材料倉庫,資材部,棚A3,1200,kg
M005,,樹脂ペレット ABS,原材料倉庫,資材部,棚A3,900,kg
M006,,溶接ワイヤー,原材料倉庫,資材部,棚A2,60,巻
M007,,エポキシ塗料(黒),原材料倉庫,資材部,棚A4,45,L
M008,,シンナー,原材料倉庫,資材部,棚A4,30,L
P001,001,六角ボルト M6×20,部品倉庫,資材部,棚B1,5000,個
P001,002,六角ボルト M8×25,部品倉庫,資材部,棚B1,3200,個
P002,,六角ナット M6,部品倉庫,資材部,棚B1,5000,個
P003,,平ワッシャー M6,部品倉庫,資材部,棚B1,6000,個
P004,,深溝玉軸受 6203ZZ,部品倉庫,資材部,棚B2,240,個
P005,,Oリング P10,部品倉庫,資材部,棚B2,800,個
P006,,ACサーボモーター 200W,部品倉庫,資材部,棚B3,35,台
P007,,制御基板 Ver.3,部品倉庫,資材部,棚B3,50,枚
P008,,配線コード 2sq,部品倉庫,資材部,棚B4,400,m
P009,,結束バンド 200mm,部品倉庫,資材部,棚B4,3000,本
W001,,溶接済みフレーム(A型),製造ライン仕掛品置場,製造部,棚C1,42,個
W002,,加工済みシャフト,製造ライン仕掛品置場,製造部,棚C1,120,本
W003,,塗装済み外装パネル,製造ライン仕掛品置場,製造部,棚C2,75,枚
W004,,組立途中ユニット(B型),製造ライン仕掛品置場,製造部,棚C2,18,個
F001,,コンベア駆動ユニット A型,完成品倉庫,出荷部,棚D1,22,台
F002,,コンベア駆動ユニット B型,完成品倉庫,出荷部,棚D1,15,台
F003,,予備部品セット,完成品倉庫,出荷部,棚D2,60,箱
K001,,ダンボール箱(製品用大),梱包資材倉庫,出荷部,棚E1,180,枚
K002,,ダンボール箱(部品用小),梱包資材倉庫,出荷部,棚E1,250,枚
K003,,エアパッキン,梱包資材倉庫,出荷部,棚E2,40,ロール
K004,,PPバンド,梱包資材倉庫,出荷部,棚E2,55,巻
Q001,,検査用校正シール,品質保証室,品質保証部,棚F1,500,枚
